especie;anio;year;linea;granja;farm;estacion;season;count1;count2;count3;Total;y1;y2;y3;J;y;noche_1;noche_2;noche_3;tipo_t;tipo_f;summer;fall;winter;spring;temp_media_y1;temp_media_y2;temp_media_y3;zanja;galpon;tambo;vegetacion;comedero;silo;foza
sp_1;2019;1;3;s;1;invierno;3;4;2;3;9;1;1;1;3;3;1;2;3;1;0;0;0;1;0;19.2;20.7;18.8;0;0;1;0;0;0;0
sp_1;2019;1;4;ll1;2;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;1;0;0;0;0;0;0
sp_1;2019;1;5;ll1;2;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;0;1;0;0;0;0
sp_1;2019;1;6;ll1;2;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;0;0;1;0;0;0
sp_1;2019;1;7;ll2;3;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;0;0;0;0;0;0
sp_1;2019;1;8;ll2;3;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;1;0;0;0;0;0;0
sp_1;2019;1;9;ll2;3;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;0;0;1;0;0;0
sp_1;2019;1;10;eld;4;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;1;0;0;0;0;0
sp_1;2019;1;11;eld;4;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;0;0;1;0;0;0;0
sp_1;2019;1;12;eld;4;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;1;0;0;0;1;0;15;15.2;14.4;1;0;0;0;0;0;0
sp_1;2019;1;13;elo;5;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;0;1;0;0;1;0;15;15.2;14.4;0;1;0;0;0;0;0
sp_1;2019;1;14;elo;5;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;0;1;0;0;1;0;15;15.2;14.4;0;0;0;0;1;0;0
sp_1;2019;1;15;elo;5;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;0;1;0;0;1;0;15;15.2;14.4;0;0;0;0;0;1;0
sp_1;2019;1;16;elo;5;invierno;3;0;0;0;0;0;0;0;3;0;1;2;3;0;1;0;0;1;0;15;15.2;14.4;1;0;0;0;0;0;0
